butterfly,path,hitbox_image,frame,hitbox_x,hitbox_y,hitbox_w,hitbox_h,hitbox_r,hitbox_area,body_area,forewing_area,hindwing_area,tail_area
Gonepteryx_cleobule__Male,06,0132.png,132,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0133.png,133,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0134.png,134,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0135.png,135,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0136.png,136,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0137.png,137,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0138.png,138,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0139.png,139,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0140.png,140,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0141.png,141,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0142.png,142,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0143.png,143,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0144.png,144,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0145.png,145,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0146.png,146,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0147.png,147,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0148.png,148,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0149.png,149,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0150.png,150,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0151.png,151,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0152.png,152,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0153.png,153,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0154.png,154,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0155.png,155,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0156.png,156,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0157.png,157,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0158.png,158,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0159.png,159,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0160.png,160,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0161.png,161,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0162.png,162,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0163.png,163,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0164.png,164,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0165.png,165,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0166.png,166,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0167.png,167,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0168.png,168,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0169.png,169,0,0,0,0,0,0,0,0,0,0
