genus,species,genusSpecies,sex,Body_Length,Wing_Area,Wing_WBF
Erebia,rhodopensis,Erebia_rhodopensis,Female,27.1382,617.5153,13.2800
Erebia,rhodopensis,Erebia_rhodopensis,Male,24.9332,599.8045,13.3445
Erebia,rondoui,Erebia_rondoui,Female,24.5940,558.1329,13.5054
Erebia,rondoui,Erebia_rondoui,Male,27.8166,664.3221,13.1194
Erebia,scipio,Erebia_scipio,Female,27.3926,833.4360,12.6331
Erebia,scipio,Erebia_scipio,Male,28.5375,833.4504,12.6331
Erebia,sthennyo,Erebia_sthennyo,Female,25.9085,666.7567,13.1114
Erebia,sthennyo,Erebia_sthennyo,Male,27.1382,808.7308,12.6966
Erebia,stiria,Erebia_stiria,Female,29.1736,894.7136,12.4848
Erebia,stiria,Erebia_stiria,Male,31.8874,907.9005,12.4544
Erebia,styx,Erebia_styx,Female,31.0393,939.1074,12.3845
Erebia,styx,Erebia_styx,Male,31.2089,901.1326,12.4699
Erebia,sudetica,Erebia_sudetica,Female,20.2688,384.6677,14.3690
Erebia,sudetica,Erebia_sudetica,Male,18.6575,351.0730,14.5894
Erebia,triarius,Erebia_triarius,Female,27.8166,739.9122,12.8860
Erebia,triarius,Erebia_triarius,Male,31.2089,789.5672,12.7474
Erebia,tyndarus,Erebia_tyndarus,Female,22.7282,500.9045,13.7509
Erebia,tyndarus,Erebia_tyndarus,Male,25.1028,566.7923,13.4709
Erebia,zapateri,Erebia_zapateri,Female,23.0675,663.3188,13.1227
Erebia,zapateri,Erebia_zapateri,Male,26.4597,728.9549,12.9181
Erynnis,marloyi,Erynnis_marloyi,Female,25.7813,401.7241,14.2656
Erynnis,marloyi,Erynnis_marloyi,Male,27.7318,413.2603,14.1985
Erynnis,tages,Erynnis_tages,Female,25.1028,325.1235,14.7771
Erynnis,tages,Erynnis_tages,Male,25.7813,301.7884,14.9615
Euchloe,ausonia,Euchloe_ausonia,Female,30.3609,661.6466,13.1282
Euchloe,ausonia,Euchloe_ausonia,Male,33.4563,602.4548,13.3347
Euchloe,belemia,Euchloe_belemia,Female,33.7531,814.4594,12.6817
Euchloe,belemia,Euchloe_belemia,Male,34.2620,579.2744,13.4221
Euchloe,charlonia,Euchloe_charlonia,Male,27.3926,472.1357,13.8871
Euchloe,insularis,Euchloe_insularis,Female,29.3432,524.8366,13.6445
Euchloe,insularis,Euchloe_insularis,Male,27.8166,531.8274,13.6145
Euchloe,penia,Euchloe_penia,Male,24.7636,411.1350,14.2107
Euchloe,simplonia,Euchloe_simplonia,Female,29.6824,826.3337,12.6511
Euchloe,simplonia,Euchloe_simplonia,Male,35.3645,686.5604,13.0476
Euchloe,tagis,Euchloe_tagis,Male,25.6965,362.9005,14.5091
Eumedonia,eumedon,Eumedonia_eumedon,Female,21.8378,402.2563,14.2625
Eumedonia,eumedon,Eumedonia_eumedon,Male,23.0675,375.1129,14.4293
Euphydryas,aurinia,Euphydryas_aurinia,Female,30.5305,749.7511,12.8577
Euphydryas,aurinia,Euphydryas_aurinia,Male,27.9863,543.7053,13.5645
Euphydryas,cynthia,Euphydryas_cynthia,Female,31.2089,753.9082,12.8459
Euphydryas,cynthia,Euphydryas_cynthia,Male,28.1559,539.4080,13.5824
Euphydryas,desfontainii,Euphydryas_desfontainii,Female,34.0500,1002.3197,12.2509
Euphydryas,desfontainii,Euphydryas_desfontainii,Male,31.5481,750.9990,12.8542
Euphydryas,iduna,Euphydryas_iduna,Female,28.8343,609.5931,13.3085
Euphydryas,iduna,Euphydryas_iduna,Male,26.7142,503.1305,13.7408
Euphydryas,intermedia,Euphydryas_intermedia,Female,31.1665,793.6523,12.7364
Euphydryas,intermedia,Euphydryas_intermedia,Male,27.8166,587.9589,13.3889
Euphydryas,maturna,Euphydryas_maturna,Female,35.7461,793.0338,12.7381
Euphydryas,maturna,Euphydryas_maturna,Male,29.5976,562.0203,13.4898
Fabriciana,adippe,Fabriciana_adippe,Female,42.4882,1472.0388,11.4914
Fabriciana,adippe,Fabriciana_adippe,Male,41.5554,1313.8967,11.7109
Fabriciana,elisa,Fabriciana_elisa,Female,19.4208,286.3108,15.0933
Fabriciana,elisa,Fabriciana_elisa,Male,33.8379,885.1156,12.5072
Fabriciana,niobe,Fabriciana_niobe,Female,19.5056,343.8880,14.6397
Fabriciana,niobe,Fabriciana_niobe,Male,37.3150,1043.7971,12.1684
Favonius,quercus,Favonius_quercus,Female,26.6294,594.3636,13.3647
Favonius,quercus,Favonius_quercus,Male,26.8414,642.1845,13.1936
Freyeria,trochylus,Freyeria_trochylus,Female,13.7387,141.0355,16.9821
Freyeria,trochylus,Freyeria_trochylus,Male,12.6362,111.7273,17.6538
Gegenes,nostrodamus,Gegenes_nostrodamus,Female,29.9792,362.2964,14.5131
Gegenes,nostrodamus,Gegenes_nostrodamus,Male,29.5976,326.3785,14.7677
Gegenes,pumilio,Gegenes_pumilio,Female,27.8166,312.0589,14.8784
Gegenes,pumilio,Gegenes_pumilio,Male,26.1205,270.8080,15.2339
Glaucopsyche,alexis,Glaucopsyche_alexis,Female,21.1169,363.2853,14.5065
Glaucopsyche,alexis,Glaucopsyche_alexis,Male,22.9403,361.4765,14.5186
