genus,species,genusSpecies,sex,treatment,render_method,flight_method,left_mean,left_dev,right_mean,right_dev,up_mean,up_dev,down_mean,down_dev
Limenitis,populi,Limenitis_populi,Male,Patterned_Gliding,Patterned,Gliding,0.2205,0.0008,0.2212,0.0008,0.2538,0.0009,4.57E-05,9.23E-05
Limenitis,populi,Limenitis_populi,Male,Patterned_Flapping,Patterned,Flapping,0.1019,0.0371,0.1023,0.0372,0.1096,0.0591,0.0244,0.0122
Limenitis,populi,Limenitis_populi,Male,Averaged_Gliding,Averaged,Gliding,0.0541,7.52E-05,0.0542,7.55E-05,0.1177,8.94E-05,2.19E-06,2.83E-06
Limenitis,populi,Limenitis_populi,Male,Averaged_Flapping,Averaged,Flapping,0.0419,0.0096,0.0419,0.0096,0.0493,0.0212,0.0108,0.0079
Limenitis,populi,Limenitis_populi,Male,White_Gliding,White,Gliding,0.9957,0.0014,0.9967,0.0014,2.165,0.0016,4.02E-05,5.21E-05
Limenitis,populi,Limenitis_populi,Male,White_Flapping,White,Flapping,0.7386,0.1947,0.7399,0.1947,0.8814,0.4035,0.1921,0.1392
Limenitis,reducta,Limenitis_reducta,Male,Patterned_Gliding,Patterned,Gliding,0.2621,0.0011,0.263,0.0011,0.3052,0.001,4.79E-05,7.54E-05
Limenitis,reducta,Limenitis_reducta,Male,Patterned_Flapping,Patterned,Flapping,0.1185,0.0388,0.1189,0.0389,0.1213,0.0576,0.0364,0.0173
Limenitis,reducta,Limenitis_reducta,Male,Averaged_Gliding,Averaged,Gliding,0.064,7.80E-05,0.0641,7.82E-05,0.1443,9.66E-05,2.55E-06,4.21E-06
Limenitis,reducta,Limenitis_reducta,Male,Averaged_Flapping,Averaged,Flapping,0.0514,0.0113,0.0515,0.0113,0.062,0.026,0.0136,0.0093
Limenitis,reducta,Limenitis_reducta,Male,White_Gliding,White,Gliding,1.0058,0.0012,1.0075,0.0012,2.2674,0.0015,4.01E-05,6.62E-05
Limenitis,reducta,Limenitis_reducta,Male,White_Flapping,White,Flapping,0.7684,0.1967,0.7702,0.1971,0.942,0.423,0.2058,0.139
Lopinga,achine,Lopinga_achine,Female,Patterned_Gliding,Patterned,Gliding,0.0488,0.0002,0.049,0.0002,0.0553,0.0001,6.71E-06,1.86E-05
Lopinga,achine,Lopinga_achine,Female,Patterned_Flapping,Patterned,Flapping,0.026,0.0062,0.0263,0.0063,0.0278,0.0103,0.0041,0.0018
Lopinga,achine,Lopinga_achine,Female,Averaged_Gliding,Averaged,Gliding,0.0071,7.16E-06,0.0072,7.20E-06,0.0182,1.55E-05,3.62E-07,4.47E-07
Lopinga,achine,Lopinga_achine,Female,Averaged_Flapping,Averaged,Flapping,0.007,0.0014,0.007,0.0014,0.0087,0.003,0.0018,0.0013
Lopinga,achine,Lopinga_achine,Female,White_Gliding,White,Gliding,0.972,0.001,0.9734,0.001,2.479,0.0021,4.92E-05,6.09E-05
Lopinga,achine,Lopinga_achine,Female,White_Flapping,White,Flapping,0.7586,0.1967,0.7598,0.1969,1.0174,0.4694,0.2111,0.1416
Lopinga,achine,Lopinga_achine,Male,Patterned_Gliding,Patterned,Gliding,0.0603,9.79E-05,0.0603,9.83E-05,0.0933,0.0001,5.11E-06,9.50E-06
Lopinga,achine,Lopinga_achine,Male,Patterned_Flapping,Patterned,Flapping,0.0355,0.0077,0.0356,0.0078,0.0425,0.0176,0.008,0.0049
Lopinga,achine,Lopinga_achine,Male,Averaged_Gliding,Averaged,Gliding,0.0267,2.23E-05,0.0268,2.25E-05,0.0671,6.68E-05,1.63E-06,2.01E-06
Lopinga,achine,Lopinga_achine,Male,Averaged_Flapping,Averaged,Flapping,0.022,0.0049,0.0221,0.0049,0.0285,0.0125,0.0062,0.0041
Lopinga,achine,Lopinga_achine,Male,White_Gliding,White,Gliding,0.9772,0.0008,0.9798,0.0008,2.4547,0.0024,5.97E-05,7.34E-05
Lopinga,achine,Lopinga_achine,Male,White_Flapping,White,Flapping,0.752,0.205,0.7542,0.2062,0.9954,0.4737,0.2169,0.1407
Lycaena,alciphron,Lycaena_alciphron,Female,Patterned_Gliding,Patterned,Gliding,0.1045,0.0002,0.1044,0.0002,0.2079,0.0002,6.74E-06,9.09E-06
Lycaena,alciphron,Lycaena_alciphron,Female,Patterned_Flapping,Patterned,Flapping,0.0681,0.0176,0.0682,0.0176,0.086,0.0372,0.0188,0.012
Lycaena,alciphron,Lycaena_alciphron,Female,Averaged_Gliding,Averaged,Gliding,0.0629,5.52E-05,0.063,5.56E-05,0.1587,0.0001,3.07E-06,5.04E-06
Lycaena,alciphron,Lycaena_alciphron,Female,Averaged_Flapping,Averaged,Flapping,0.0487,0.0114,0.0488,0.0114,0.0678,0.029,0.0138,0.0094
Lycaena,alciphron,Lycaena_alciphron,Female,White_Gliding,White,Gliding,0.924,0.0008,0.9253,0.0008,2.332,0.0018,4.50E-05,7.40E-05
Lycaena,alciphron,Lycaena_alciphron,Female,White_Flapping,White,Flapping,0.6984,0.1743,0.6995,0.1745,0.979,0.4337,0.1998,0.1343
Lycaena,alciphron,Lycaena_alciphron,Male,Patterned_Gliding,Patterned,Gliding,0.0494,0.0002,0.0493,0.0002,0.0475,0.0002,1.10E-05,2.81E-05
Lycaena,alciphron,Lycaena_alciphron,Male,Patterned_Flapping,Patterned,Flapping,0.0229,0.0075,0.023,0.0075,0.019,0.0092,0.0042,0.0019
Lycaena,alciphron,Lycaena_alciphron,Male,Averaged_Gliding,Averaged,Gliding,0.0051,5.14E-06,0.0051,5.16E-06,0.0128,9.49E-06,2.51E-07,3.64E-07
Lycaena,alciphron,Lycaena_alciphron,Male,Averaged_Flapping,Averaged,Flapping,0.0054,0.0012,0.0054,0.0012,0.0064,0.002,0.0013,0.0008
Lycaena,alciphron,Lycaena_alciphron,Male,White_Gliding,White,Gliding,0.9232,0.0009,0.9243,0.0009,2.3153,0.0017,4.53E-05,6.56E-05
Lycaena,alciphron,Lycaena_alciphron,Male,White_Flapping,White,Flapping,0.7291,0.1839,0.7304,0.1842,0.9723,0.435,0.2061,0.1364
Lycaena,bleusei,Lycaena_bleusei,Female,Patterned_Gliding,Patterned,Gliding,0.0939,0.0002,0.094,0.0002,0.1996,0.0003,9.59E-06,7.21E-06
Lycaena,bleusei,Lycaena_bleusei,Female,Patterned_Flapping,Patterned,Flapping,0.0663,0.0131,0.0665,0.0131,0.0894,0.0398,0.0143,0.0082
Lycaena,bleusei,Lycaena_bleusei,Female,Averaged_Gliding,Averaged,Gliding,0.0562,4.81E-05,0.0563,4.83E-05,0.1384,9.29E-05,2.35E-06,3.69E-06
Lycaena,bleusei,Lycaena_bleusei,Female,Averaged_Flapping,Averaged,Flapping,0.0464,0.0099,0.0465,0.0099,0.0603,0.0256,0.0126,0.0081
Lycaena,bleusei,Lycaena_bleusei,Female,White_Gliding,White,Gliding,0.9527,0.0008,0.9538,0.0008,2.3449,0.0016,3.98E-05,6.26E-05
Lycaena,bleusei,Lycaena_bleusei,Female,White_Flapping,White,Flapping,0.7462,0.1874,0.7473,0.1873,0.9851,0.4455,0.2072,0.1324
Lycaena,bleusei,Lycaena_bleusei,Male,Patterned_Gliding,Patterned,Gliding,0.1127,0.0002,0.1131,0.0002,0.2262,0.0003,8.70E-06,1.05E-05
Lycaena,bleusei,Lycaena_bleusei,Male,Patterned_Flapping,Patterned,Flapping,0.0748,0.0185,0.0751,0.0185,0.0938,0.0419,0.0187,0.0114
Lycaena,bleusei,Lycaena_bleusei,Male,Averaged_Gliding,Averaged,Gliding,0.0774,7.49E-05,0.0776,7.51E-05,0.1873,0.0001,3.86E-06,6.11E-06
Lycaena,bleusei,Lycaena_bleusei,Male,Averaged_Flapping,Averaged,Flapping,0.0603,0.0144,0.0605,0.0144,0.0796,0.0351,0.0169,0.0113
Lycaena,bleusei,Lycaena_bleusei,Male,White_Gliding,White,Gliding,0.9125,0.0009,0.9142,0.0009,2.2075,0.0016,4.55E-05,7.20E-05
Lycaena,bleusei,Lycaena_bleusei,Male,White_Flapping,White,Flapping,0.7052,0.1765,0.7069,0.1766,0.933,0.417,0.1974,0.1313
Lycaena,candens,Lycaena_candens,Female,Patterned_Gliding,Patterned,Gliding,0.0858,0.0002,0.0855,0.0002,0.1401,0.0003,1.36E-05,3.25E-05
Lycaena,candens,Lycaena_candens,Female,Patterned_Flapping,Patterned,Flapping,0.045,0.0113,0.0452,0.0113,0.0552,0.0256,0.0101,0.0052
Lycaena,candens,Lycaena_candens,Female,Averaged_Gliding,Averaged,Gliding,0.0308,3.12E-05,0.0308,3.13E-05,0.0779,5.85E-05,1.50E-06,2.19E-06
Lycaena,candens,Lycaena_candens,Female,Averaged_Flapping,Averaged,Flapping,0.0249,0.0052,0.0249,0.0053,0.0338,0.0141,0.007,0.0046
Lycaena,candens,Lycaena_candens,Female,White_Gliding,White,Gliding,1.0063,0.001,1.008,0.001,2.5455,0.0019,4.91E-05,7.17E-05
Lycaena,candens,Lycaena_candens,Female,White_Flapping,White,Flapping,0.7571,0.1915,0.7585,0.1918,1.0522,0.4773,0.2176,0.1432
Lycaena,candens,Lycaena_candens,Male,Patterned_Gliding,Patterned,Gliding,0.0642,0.0002,0.0642,0.0002,0.1111,0.0003,1.58E-05,3.60E-05
Lycaena,candens,Lycaena_candens,Male,Patterned_Flapping,Patterned,Flapping,0.0374,0.0072,0.0376,0.0072,0.0512,0.0226,0.0076,0.0039
Lycaena,candens,Lycaena_candens,Male,Averaged_Gliding,Averaged,Gliding,0.0279,3.33E-05,0.0279,3.33E-05,0.0641,5.98E-05,1.42E-06,2.03E-06
Lycaena,candens,Lycaena_candens,Male,Averaged_Flapping,Averaged,Flapping,0.0219,0.0045,0.022,0.0045,0.0273,0.0115,0.0058,0.004
Lycaena,candens,Lycaena_candens,Male,White_Gliding,White,Gliding,1.0697,0.0013,1.0713,0.0013,2.4599,0.0023,5.45E-05,7.79E-05
Lycaena,candens,Lycaena_candens,Male,White_Flapping,White,Flapping,0.7763,0.2012,0.7778,0.2013,0.9932,0.4585,0.2115,0.1441
Lycaena,dispar,Lycaena_dispar,Female,Patterned_Gliding,Patterned,Gliding,0.138,0.0003,0.1379,0.0003,0.2732,0.0005,1.41E-05,7.43E-06
Lycaena,dispar,Lycaena_dispar,Female,Patterned_Flapping,Patterned,Flapping,0.0773,0.0182,0.0775,0.0182,0.1152,0.0528,0.0187,0.0109
Lycaena,dispar,Lycaena_dispar,Female,Averaged_Gliding,Averaged,Gliding,0.0641,6.95E-05,0.0642,6.96E-05,0.1729,0.0001,3.05E-06,4.69E-06
Lycaena,dispar,Lycaena_dispar,Female,Averaged_Flapping,Averaged,Flapping,0.0515,0.012,0.0516,0.012,0.0731,0.0319,0.015,0.0101
Lycaena,dispar,Lycaena_dispar,Female,White_Gliding,White,Gliding,0.9663,0.001,0.9671,0.001,2.6051,0.0018,4.59E-05,7.06E-05
Lycaena,dispar,Lycaena_dispar,Female,White_Flapping,White,Flapping,0.7568,0.1934,0.758,0.1935,1.0816,0.4888,0.2216,0.1471
Lycaena,dispar,Lycaena_dispar,Male,Patterned_Gliding,Patterned,Gliding,0.054,0.0002,0.0541,0.0002,0.0936,0.0002,6.98E-06,7.64E-06
Lycaena,dispar,Lycaena_dispar,Male,Patterned_Flapping,Patterned,Flapping,0.0342,0.0037,0.0344,0.0037,0.0469,0.0178,0.0061,0.0033
Lycaena,dispar,Lycaena_dispar,Male,Averaged_Gliding,Averaged,Gliding,0.0207,2.12E-05,0.0207,2.11E-05,0.0527,4.48E-05,1.14E-06,1.75E-06
Lycaena,dispar,Lycaena_dispar,Male,Averaged_Flapping,Averaged,Flapping,0.0185,0.0035,0.0185,0.0035,0.0244,0.0088,0.0051,0.0034
Lycaena,dispar,Lycaena_dispar,Male,White_Gliding,White,Gliding,0.9504,0.001,0.9517,0.001,2.4191,0.0021,5.24E-05,8.03E-05
Lycaena,dispar,Lycaena_dispar,Male,White_Flapping,White,Flapping,0.7245,0.1832,0.7263,0.1834,1.0121,0.4488,0.214,0.1427
Lycaena,helle,Lycaena_helle,Female,Patterned_Gliding,Patterned,Gliding,0.0968,6.27E-05,0.097,6.31E-05,0.2308,0.0003,7.52E-06,8.92E-06
Lycaena,helle,Lycaena_helle,Female,Patterned_Flapping,Patterned,Flapping,0.0679,0.0145,0.068,0.0145,0.101,0.0449,0.018,0.0108
Lycaena,helle,Lycaena_helle,Female,Averaged_Gliding,Averaged,Gliding,0.0755,6.69E-05,0.0755,6.71E-05,0.193,0.0002,4.09E-06,6.11E-06
Lycaena,helle,Lycaena_helle,Female,Averaged_Flapping,Averaged,Flapping,0.0592,0.0135,0.0592,0.0134,0.0813,0.036,0.017,0.0112
Lycaena,helle,Lycaena_helle,Female,White_Gliding,White,Gliding,0.9471,0.0008,0.9481,0.0008,2.4224,0.002,5.13E-05,7.67E-05
Lycaena,helle,Lycaena_helle,Female,White_Flapping,White,Flapping,0.7244,0.1804,0.7256,0.1804,1.0028,0.4581,0.2095,0.1365
Lycaena,helle,Lycaena_helle,Male,Patterned_Gliding,Patterned,Gliding,0.1033,0.0001,0.1033,0.0001,0.2345,0.0003,8.46E-06,1.03E-05
Lycaena,helle,Lycaena_helle,Male,Patterned_Flapping,Patterned,Flapping,0.0666,0.0148,0.0669,0.0148,0.0973,0.045,0.019,0.011
Lycaena,helle,Lycaena_helle,Male,Averaged_Gliding,Averaged,Gliding,0.0744,7.44E-05,0.0745,7.45E-05,0.1865,0.0002,4.10E-06,5.35E-06
Lycaena,helle,Lycaena_helle,Male,Averaged_Flapping,Averaged,Flapping,0.0568,0.0136,0.0569,0.0136,0.0766,0.0349,0.016,0.0107
Lycaena,helle,Lycaena_helle,Male,White_Gliding,White,Gliding,1.018,0.001,1.0197,0.001,2.5521,0.0023,5.62E-05,7.32E-05
Lycaena,helle,Lycaena_helle,Male,White_Flapping,White,Flapping,0.7692,0.1943,0.7712,0.1949,1.0414,0.4817,0.2168,0.1418
Lycaena,hippothoe,Lycaena_hippothoe,Female,Patterned_Gliding,Patterned,Gliding,0.0846,0.0002,0.0842,0.0002,0.1526,0.0003,1.09E-05,1.97E-05
Lycaena,hippothoe,Lycaena_hippothoe,Female,Patterned_Flapping,Patterned,Flapping,0.0515,0.0125,0.0516,0.0125,0.0635,0.0283,0.0118,0.0062
Lycaena,hippothoe,Lycaena_hippothoe,Female,Averaged_Gliding,Averaged,Gliding,0.035,3.48E-05,0.035,3.47E-05,0.0944,7.02E-05,1.88E-06,2.75E-06
Lycaena,hippothoe,Lycaena_hippothoe,Female,Averaged_Flapping,Averaged,Flapping,0.0288,0.0063,0.0289,0.0063,0.041,0.0171,0.0084,0.0056
Lycaena,hippothoe,Lycaena_hippothoe,Female,White_Gliding,White,Gliding,0.9393,0.0009,0.9393,0.0009,2.5326,0.0019,5.04E-05,7.37E-05
Lycaena,hippothoe,Lycaena_hippothoe,Female,White_Flapping,White,Flapping,0.7277,0.1838,0.7293,0.1839,1.0555,0.4739,0.2158,0.1434
Lycaena,hippothoe,Lycaena_hippothoe,Male,Patterned_Gliding,Patterned,Gliding,0.0488,0.0001,0.0487,0.0001,0.0904,0.0002,6.99E-06,8.44E-06
Lycaena,hippothoe,Lycaena_hippothoe,Male,Patterned_Flapping,Patterned,Flapping,0.0288,0.006,0.0289,0.006,0.0389,0.017,0.0073,0.0039
Lycaena,hippothoe,Lycaena_hippothoe,Male,Averaged_Gliding,Averaged,Gliding,0.0243,2.49E-05,0.0243,2.49E-05,0.0658,4.89E-05,1.31E-06,1.84E-06
Lycaena,hippothoe,Lycaena_hippothoe,Male,Averaged_Flapping,Averaged,Flapping,0.0199,0.0042,0.0199,0.0042,0.0285,0.0119,0.0059,0.004
Lycaena,hippothoe,Lycaena_hippothoe,Male,White_Gliding,White,Gliding,0.9412,0.001,0.9423,0.001,2.5519,0.0019,5.08E-05,7.13E-05
Lycaena,hippothoe,Lycaena_hippothoe,Male,White_Flapping,White,Flapping,0.7269,0.1774,0.7282,0.1777,1.0644,0.4761,0.221,0.1471
Lycaena,ottomana,Lycaena_ottomana,Female,Patterned_Gliding,Patterned,Gliding,0.084,9.95E-05,0.0841,9.91E-05,0.1542,0.0003,7.97E-06,7.00E-06
Lycaena,ottomana,Lycaena_ottomana,Female,Patterned_Flapping,Patterned,Flapping,0.0505,0.0137,0.0507,0.0137,0.0659,0.031,0.0149,0.0082
Lycaena,ottomana,Lycaena_ottomana,Female,Averaged_Gliding,Averaged,Gliding,0.0473,4.03E-05,0.0473,4.04E-05,0.1243,7.56E-05,2.25E-06,3.66E-06
Lycaena,ottomana,Lycaena_ottomana,Female,Averaged_Flapping,Averaged,Flapping,0.0387,0.0089,0.0387,0.0089,0.0541,0.0232,0.0111,0.0071
Lycaena,ottomana,Lycaena_ottomana,Female,White_Gliding,White,Gliding,0.8852,0.0008,0.8866,0.0008,2.3278,0.0014,4.21E-05,6.86E-05
Lycaena,ottomana,Lycaena_ottomana,Female,White_Flapping,White,Flapping,0.6933,0.1689,0.6947,0.1689,0.9841,0.4412,0.2061,0.1347
Lycaena,ottomana,Lycaena_ottomana,Male,Patterned_Gliding,Patterned,Gliding,0.0748,0.0002,0.075,0.0002,0.0866,0.0002,7.66E-06,7.87E-06
Lycaena,ottomana,Lycaena_ottomana,Male,Patterned_Flapping,Patterned,Flapping,0.0399,0.0088,0.04,0.0087,0.0388,0.0142,0.0093,0.0048
Lycaena,ottomana,Lycaena_ottomana,Male,Averaged_Gliding,Averaged,Gliding,0.0272,2.55E-05,0.0273,2.56E-05,0.0636,4.83E-05,1.34E-06,2.11E-06
Lycaena,ottomana,Lycaena_ottomana,Male,Averaged_Flapping,Averaged,Flapping,0.0238,0.0046,0.0239,0.0046,0.0292,0.0111,0.006,0.0038
Lycaena,ottomana,Lycaena_ottomana,Male,White_Gliding,White,Gliding,0.964,0.0009,0.9661,0.0009,2.253,0.0017,4.75E-05,7.49E-05
Lycaena,ottomana,Lycaena_ottomana,Male,White_Flapping,White,Flapping,0.7396,0.179,0.7412,0.1788,0.9495,0.4228,0.2018,0.1347
Lycaena,phlaeas,Lycaena_phlaeas,Female,Patterned_Gliding,Patterned,Gliding,0.1114,8.93E-05,0.1113,8.89E-05,0.2266,0.0002,6.43E-06,1.13E-05
Lycaena,phlaeas,Lycaena_phlaeas,Female,Patterned_Flapping,Patterned,Flapping,0.0735,0.0178,0.0737,0.0179,0.093,0.043,0.0209,0.0132
Lycaena,phlaeas,Lycaena_phlaeas,Female,Averaged_Gliding,Averaged,Gliding,0.0778,5.06E-05,0.0779,5.08E-05,0.1949,0.0001,4.01E-06,6.46E-06
Lycaena,phlaeas,Lycaena_phlaeas,Female,Averaged_Flapping,Averaged,Flapping,0.0594,0.0144,0.0595,0.0144,0.0817,0.0369,0.0175,0.0113
Lycaena,phlaeas,Lycaena_phlaeas,Female,White_Gliding,White,Gliding,0.9155,0.0006,0.9169,0.0006,2.295,0.0017,4.72E-05,7.60E-05
Lycaena,phlaeas,Lycaena_phlaeas,Female,White_Flapping,White,Flapping,0.7012,0.1722,0.7028,0.1723,0.9636,0.436,0.2056,0.1314
Lycaena,phlaeas,Lycaena_phlaeas,Male,Patterned_Gliding,Patterned,Gliding,0.1121,0.0003,0.1123,0.0003,0.185,0.0004,1.24E-05,7.39E-06
Lycaena,phlaeas,Lycaena_phlaeas,Male,Patterned_Flapping,Patterned,Flapping,0.0625,0.0178,0.0628,0.0179,0.0756,0.0362,0.0166,0.0089
Lycaena,phlaeas,Lycaena_phlaeas,Male,Averaged_Gliding,Averaged,Gliding,0.0561,6.78E-05,0.0562,6.82E-05,0.137,0.0002,3.55E-06,4.27E-06
Lycaena,phlaeas,Lycaena_phlaeas,Male,Averaged_Flapping,Averaged,Flapping,0.0413,0.0099,0.0415,0.0099,0.0572,0.025,0.0116,0.0076
Lycaena,phlaeas,Lycaena_phlaeas,Male,White_Gliding,White,Gliding,1.0326,0.0012,1.0345,0.0013,2.5208,0.0028,6.53E-05,7.86E-05
Lycaena,phlaeas,Lycaena_phlaeas,Male,White_Flapping,White,Flapping,0.7353,0.1843,0.7377,0.1847,1.0291,0.4664,0.213,0.1427
Lycaena,thersamon,Lycaena_thersamon,Female,Patterned_Gliding,Patterned,Gliding,0.0547,0.0001,0.0545,0.0001,0.0891,0.0002,7.30E-06,1.85E-05
Lycaena,thersamon,Lycaena_thersamon,Female,Patterned_Flapping,Patterned,Flapping,0.0333,0.0081,0.0335,0.0082,0.0387,0.0175,0.0079,0.0042
Lycaena,thersamon,Lycaena_thersamon,Female,Averaged_Gliding,Averaged,Gliding,0.0195,1.86E-05,0.0195,1.86E-05,0.05,3.00E-05,8.47E-07,1.36E-06
Lycaena,thersamon,Lycaena_thersamon,Female,Averaged_Flapping,Averaged,Flapping,0.0168,0.0033,0.0168,0.0033,0.0223,0.0089,0.0046,0.003
Lycaena,thersamon,Lycaena_thersamon,Female,White_Gliding,White,Gliding,0.9466,0.0009,0.9471,0.0009,2.4265,0.0015,4.11E-05,6.59E-05
Lycaena,thersamon,Lycaena_thersamon,Female,White_Flapping,White,Flapping,0.745,0.185,0.7465,0.1851,1.0221,0.459,0.2121,0.138
Lycaena,thersamon,Lycaena_thersamon,Male,Patterned_Gliding,Patterned,Gliding,0.0309,0.0001,0.031,0.0001,0.0377,0.0001,5.64E-06,1.25E-05
Lycaena,thersamon,Lycaena_thersamon,Male,Patterned_Flapping,Patterned,Flapping,0.0217,0.0046,0.022,0.0046,0.0197,0.0076,0.0021,0.0011
Lycaena,thersamon,Lycaena_thersamon,Male,Averaged_Gliding,Averaged,Gliding,0.0059,5.22E-06,0.0059,5.21E-06,0.0149,1.21E-05,3.20E-07,4.72E-07
Lycaena,thersamon,Lycaena_thersamon,Male,Averaged_Flapping,Averaged,Flapping,0.0063,0.0014,0.0063,0.0015,0.0077,0.0023,0.0016,0.001
Lycaena,thersamon,Lycaena_thersamon,Male,White_Gliding,White,Gliding,0.9462,0.0008,0.9466,0.0008,2.4011,0.0019,5.15E-05,7.61E-05
Lycaena,thersamon,Lycaena_thersamon,Male,White_Flapping,White,Flapping,0.7178,0.1776,0.7193,0.1776,0.9958,0.4483,0.211,0.1398
Lycaena,thetis,Lycaena_thetis,Female,Patterned_Gliding,Patterned,Gliding,0.0559,0.0003,0.0563,0.0003,0.046,0.0002,1.79E-05,3.95E-05
Lycaena,thetis,Lycaena_thetis,Female,Patterned_Flapping,Patterned,Flapping,0.028,0.0088,0.0284,0.0089,0.0252,0.0121,0.0051,0.0022
Lycaena,thetis,Lycaena_thetis,Female,Averaged_Gliding,Averaged,Gliding,8.35E-05,7.30E-08,8.37E-05,7.32E-08,0.0002,1.63E-07,4.39E-09,6.95E-09
Lycaena,thetis,Lycaena_thetis,Female,Averaged_Flapping,Averaged,Flapping,0.0007,0.001,0.0007,0.001,0.0003,0.0003,0.0002,0.0002
Lycaena,thetis,Lycaena_thetis,Female,White_Gliding,White,Gliding,0.931,0.0008,0.9334,0.0008,2.4782,0.0018,4.89E-05,7.75E-05
Lycaena,thetis,Lycaena_thetis,Female,White_Flapping,White,Flapping,0.7342,0.191,0.7371,0.1912,1.0361,0.4785,0.2207,0.1395
Lycaena,thetis,Lycaena_thetis,Male,Patterned_Gliding,Patterned,Gliding,0.0381,0.0002,0.0382,0.0002,0.0322,0.0001,1.01E-05,3.32E-05
Lycaena,thetis,Lycaena_thetis,Male,Patterned_Flapping,Patterned,Flapping,0.0207,0.0048,0.0209,0.0048,0.0168,0.0059,0.0031,0.0013
Lycaena,thetis,Lycaena_thetis,Male,Averaged_Gliding,Averaged,Gliding,0.0027,2.62E-06,0.0027,2.62E-06,0.007,5.11E-06,1.38E-07,2.16E-07
Lycaena,thetis,Lycaena_thetis,Male,Averaged_Flapping,Averaged,Flapping,0.0035,0.0013,0.0035,0.0013,0.004,0.0008,0.0008,0.0005
Lycaena,thetis,Lycaena_thetis,Male,White_Gliding,White,Gliding,0.935,0.0009,0.9356,0.0009,2.454,0.0018,4.81E-05,7.51E-05
Lycaena,thetis,Lycaena_thetis,Male,White_Flapping,White,Flapping,0.7207,0.1811,0.7219,0.1811,1.0284,0.4619,0.2174,0.1438
Lycaena,tityrus,Lycaena_tityrus,Female,Patterned_Gliding,Patterned,Gliding,0.1176,0.0001,0.1176,0.0001,0.2578,0.0003,8.66E-06,1.26E-05
Lycaena,tityrus,Lycaena_tityrus,Female,Patterned_Flapping,Patterned,Flapping,0.0781,0.0186,0.0783,0.0186,0.106,0.0487,0.0205,0.0126
Lycaena,tityrus,Lycaena_tityrus,Female,Averaged_Gliding,Averaged,Gliding,0.0739,6.10E-05,0.074,6.12E-05,0.2029,0.0001,3.82E-06,5.88E-06
Lycaena,tityrus,Lycaena_tityrus,Female,Averaged_Flapping,Averaged,Flapping,0.058,0.0136,0.0581,0.0136,0.0843,0.0376,0.0174,0.0116
Lycaena,tityrus,Lycaena_tityrus,Female,White_Gliding,White,Gliding,0.9198,0.0008,0.9215,0.0008,2.5255,0.0018,4.75E-05,7.32E-05
Lycaena,tityrus,Lycaena_tityrus,Female,White_Flapping,White,Flapping,0.7159,0.1739,0.7172,0.1741,1.0429,0.4705,0.2139,0.141
Lycaena,tityrus,Lycaena_tityrus,Male,Patterned_Gliding,Patterned,Gliding,0.1138,0.0001,0.114,0.0001,0.2316,0.0003,7.02E-06,9.04E-06
Lycaena,tityrus,Lycaena_tityrus,Male,Patterned_Flapping,Patterned,Flapping,0.0763,0.0201,0.0764,0.0202,0.0913,0.0431,0.0217,0.014
Lycaena,tityrus,Lycaena_tityrus,Male,Averaged_Gliding,Averaged,Gliding,0.0844,9.32E-05,0.0846,9.30E-05,0.1942,0.0002,4.53E-06,6.51E-06
Lycaena,tityrus,Lycaena_tityrus,Male,Averaged_Flapping,Averaged,Flapping,0.0623,0.0162,0.0625,0.0162,0.0797,0.0366,0.0174,0.012
Lycaena,tityrus,Lycaena_tityrus,Male,White_Gliding,White,Gliding,0.9486,0.001,0.9499,0.001,2.1816,0.0019,5.09E-05,7.31E-05
Lycaena,tityrus,Lycaena_tityrus,Male,White_Flapping,White,Flapping,0.7136,0.183,0.7151,0.1832,0.9079,0.4088,0.1958,0.1328
Lycaena,virgaureae,Lycaena_virgaureae,Female,Patterned_Gliding,Patterned,Gliding,0.0931,0.0002,0.0932,0.0002,0.1716,0.0002,7.63E-06,8.34E-06
Lycaena,virgaureae,Lycaena_virgaureae,Female,Patterned_Flapping,Patterned,Flapping,0.056,0.0121,0.056,0.0121,0.0753,0.0334,0.0163,0.0092
Lycaena,virgaureae,Lycaena_virgaureae,Female,Averaged_Gliding,Averaged,Gliding,0.0561,4.64E-05,0.0562,4.64E-05,0.1473,8.65E-05,2.62E-06,4.78E-06
Lycaena,virgaureae,Lycaena_virgaureae,Female,Averaged_Flapping,Averaged,Flapping,0.0456,0.0101,0.0457,0.0101,0.0643,0.0276,0.0134,0.0084
Lycaena,virgaureae,Lycaena_virgaureae,Female,White_Gliding,White,Gliding,0.928,0.0008,0.9296,0.0008,2.4385,0.0014,4.33E-05,7.91E-05
Lycaena,virgaureae,Lycaena_virgaureae,Female,White_Flapping,White,Flapping,0.7329,0.177,0.7342,0.1772,1.0427,0.4637,0.2186,0.1388
Lycaena,virgaureae,Lycaena_virgaureae,Male,Patterned_Gliding,Patterned,Gliding,0.0525,0.0002,0.0525,0.0002,0.0618,0.0002,6.22E-06,2.68E-06
Lycaena,virgaureae,Lycaena_virgaureae,Male,Patterned_Flapping,Patterned,Flapping,0.0306,0.0066,0.0306,0.0066,0.0294,0.0115,0.0057,0.0027
Lycaena,virgaureae,Lycaena_virgaureae,Male,Averaged_Gliding,Averaged,Gliding,0.0155,1.63E-05,0.0155,1.63E-05,0.0363,3.04E-05,8.43E-07,1.19E-06
