genus,species,genusSpecies,sex,treatment,render_method,flight_method,left_mean,left_dev,right_mean,right_dev,up_mean,up_dev,down_mean,down_dev
Agriades,optilete,Agriades_optilete,Female,Averaged_Gliding,Averaged,Gliding,0.007,5.58E-06,0.007,5.63E-06,0.0189,1.28E-05,3.40E-07,5.06E-07
Agriades,optilete,Agriades_optilete,Female,Averaged_Flapping,Averaged,Flapping,0.0065,0.0014,0.0065,0.0014,0.0086,0.0033,0.0018,0.0013
Agriades,optilete,Agriades_optilete,Female,White_Gliding,White,Gliding,0.9405,0.0008,0.9424,0.0008,2.5444,0.0017,4.58E-05,6.81E-05
Agriades,optilete,Agriades_optilete,Female,White_Flapping,White,Flapping,0.7367,0.1887,0.7381,0.189,1.0419,0.482,0.2148,0.1434
Agriades,optilete,Agriades_optilete,Male,Patterned_Gliding,Patterned,Gliding,0.0921,0.0003,0.0921,0.0003,0.1424,0.0003,1.45E-05,4.51E-05
Agriades,optilete,Agriades_optilete,Male,Patterned_Flapping,Patterned,Flapping,0.0448,0.0153,0.0449,0.0154,0.0534,0.027,0.0149,0.008
Agriades,optilete,Agriades_optilete,Male,Averaged_Gliding,Averaged,Gliding,0.0252,2.38E-05,0.0252,2.39E-05,0.0596,4.01E-05,1.12E-06,1.68E-06
Agriades,optilete,Agriades_optilete,Male,Averaged_Flapping,Averaged,Flapping,0.0195,0.0048,0.0195,0.0048,0.0248,0.0112,0.0053,0.0036
Agriades,optilete,Agriades_optilete,Male,White_Gliding,White,Gliding,1.0451,0.001,1.0461,0.001,2.4718,0.0017,4.64E-05,6.95E-05
Agriades,optilete,Agriades_optilete,Male,White_Flapping,White,Flapping,0.7967,0.2027,0.798,0.2028,1.0222,0.472,0.2163,0.1396
Agriades,pyrenaicus,Agriades_pyrenaicus,Male,Patterned_Gliding,Patterned,Gliding,0.1304,0.0005,0.1306,0.0005,0.1454,0.0004,2.12E-05,1.82E-05
Agriades,pyrenaicus,Agriades_pyrenaicus,Male,Patterned_Flapping,Patterned,Flapping,0.0576,0.018,0.0577,0.0181,0.0643,0.0295,0.0162,0.0078
Agriades,pyrenaicus,Agriades_pyrenaicus,Male,Averaged_Gliding,Averaged,Gliding,0.0352,3.76E-05,0.0353,3.77E-05,0.0901,6.37E-05,1.69E-06,2.32E-06
Agriades,pyrenaicus,Agriades_pyrenaicus,Male,Averaged_Flapping,Averaged,Flapping,0.0239,0.0086,0.024,0.0086,0.0336,0.0183,0.0074,0.0049
Agriades,pyrenaicus,Agriades_pyrenaicus,Male,White_Gliding,White,Gliding,1.0079,0.0011,1.0094,0.0011,2.5792,0.0018,4.83E-05,6.65E-05
Agriades,pyrenaicus,Agriades_pyrenaicus,Male,White_Flapping,White,Flapping,0.7933,0.2083,0.7954,0.2088,1.0621,0.5003,0.2288,0.1471
