"Population","Generation","ID","Wing","L_mean","L_stdev","L_x","L_y","P_mean","P_stdev","P_x","P_y","E_mean","E_stdev","E_x","E_y","VH_mean","VH_stdev","VH_x","VH_y","OA_mean","OA_stdev","OA_x","OA_y","DR_mean","DR_stdev","DR_x","DR_y"
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID20","forewing",135.6051,26.3476,0.0963,-3.128e-15,0.2842,0.0464,-2e-04,-3.794e-17,0.3917,0.1349,0.0011,3.373e-17,0.036,0.0882,7.958e-05,3.162e-18,0.0118,0.0851,5e-04,1.054e-17,-0.0492,0.0569,-7.623e-05,0
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID20","hindwing",114.1916,40.0576,-0.1972,5.046e-15,0.239,0.0415,-1e-04,-2.069e-17,0.8317,0.1729,0.0023,-1.379e-17,0.0968,0.2063,0.001,1.982e-17,-0.0517,0.1996,5e-04,8.619e-18,-0.0575,0.1219,2e-04,-1.131e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID21","forewing",91.9229,5.6517,0.012,-8.863e-15,0.2828,0.0584,5.967e-05,-8.432e-18,0.0783,0.0381,3e-04,-6.324e-18,-0.0045,0.0207,1e-04,-1.976e-19,-0.0078,0.0143,-1e-04,-5.599e-19,-0.0106,0.0122,-1.653e-05,5.27e-19
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID21","hindwing",97.5401,7.5132,-0.0291,4.205e-15,0.2216,0.0311,-2e-04,-9.481e-18,0.1519,0.0546,-4.448e-05,-6.033e-18,0.0304,0.0462,2e-04,1.724e-18,0.0362,0.0322,1e-04,7.541e-19,0.0031,0.0242,6.863e-05,7.811e-19
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID22","forewing",94.9489,24.1646,-0.0084,-4.171e-15,0.2481,0.0345,-2e-04,-1.897e-17,0.4014,0.1707,9e-04,0,-0.0474,0.0864,4e-04,1.265e-17,-0.0035,0.0717,-2e-04,-7.411e-20,-0.0573,0.0625,-2e-04,-9.222e-19
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID22","hindwing",85.8722,11.5615,-0.0407,-9.251e-15,0.2699,0.0457,-3e-04,-2.241e-17,0.2149,0.0479,5e-04,-4.309e-18,0.0503,0.0443,1e-04,2.424e-19,-6e-04,0.0339,1e-04,-2.37e-18,-0.0183,0.0278,-1.62e-05,4.74e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID23","forewing",85.3232,7.9024,-0.0077,-8.863e-15,0.2915,0.0508,3e-04,-8.432e-18,0.1175,0.0511,-4e-04,3.689e-18,0.012,0.0306,-2e-04,1.647e-19,-0.0051,0.0208,7.992e-05,-1.317e-19,-0.0162,0.0187,-4.547e-05,5.27e-19
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID23","hindwing",108.0783,24.5187,0.1446,-7.569e-15,0.2326,0.0449,1e-04,-7.757e-18,0.5368,0.119,0.0013,-1.896e-17,0.0375,0.1251,-5e-04,4.74e-18,-0.0147,0.1188,6e-04,9.912e-18,-0.0534,0.0802,-1e-04,-1.239e-18
"Papilio_machaon_BF_1",20,"Gen18_Mut0_ID10","forewing",52.5291,29.2255,-0.0841,4.692e-15,0.2784,0.042,-2e-04,-2.74e-17,0.3968,0.147,0.0021,4.216e-17,0.1784,0.1299,0.0016,1.317e-18,0.0321,0.0821,5e-04,1.844e-18,0.046,0.084,7e-04,-2.635e-18
"Papilio_machaon_BF_1",20,"Gen18_Mut0_ID10","hindwing",51.1924,10.5247,0.0431,1.051e-14,0.278,0.0572,-4e-04,-3.448e-18,0.2013,0.0647,9e-04,-1.638e-17,0.036,0.0583,3e-04,4.74e-18,0.0027,0.0454,-2e-04,1.401e-18,-0.0101,0.036,-2e-04,-2.047e-18
