ID,SubFrame,Heading_X1,Heading_Y1,Heading_X2,Heading_Y2
T13_PdM_v12,3,83,361,94,368
T13_PdM_v12,4,85,333,94,342
T13_PdM_v12,5,93,311,96,322
T13_PdM_v12,6,100,295,96,306
T13_PdM_v12,7,104,279,101,290
T13_PdM_v12,8,108,258,99,270
T13_PdM_v12,9,114,227,105,238
T13_PdM_v12,10,118,196,110,203
T13_PdM_v12,11,116,161,117,174
T13_PdM_v12,12,116,134,114,143
T13_PdM_v12,13,109,108,111,121
T13_PdM_v12,14,101,84,105,101
T13_PdM_v12,15,94,69,98,80
T14_PdM_v13,0,114,432,121,446
T14_PdM_v13,1,114,432,121,442
T14_PdM_v13,2,114,431,116,440
T14_PdM_v13,3,114,430,117,440
T14_PdM_v13,4,117,417,118,429
T14_PdM_v13,5,121,384,122,408
T14_PdM_v13,6,130,354,126,369
T14_PdM_v13,7,134,332,130,343
T14_PdM_v13,8,137,303,132,313
T14_PdM_v13,9,146,261,140,273
T14_PdM_v13,10,149,210,146,238
T14_PdM_v13,11,159,190,152,203
T14_PdM_v13,12,148,144,143,156
T14_PdM_v13,13,131,98,130,113
T14_PdM_v13,14,116,59,116,75
T14_PdM_v13,15,115,18,113,31
T15_Pm_v1,0,149,437,152,452
T15_Pm_v1,1,148,439,153,451
T15_Pm_v1,2,144,436,153,449
T15_Pm_v1,3,141,432,154,450
T15_Pm_v1,4,132,414,151,439
T15_Pm_v1,5,129,407,147,431
T15_Pm_v1,6,117,385,138,412
T15_Pm_v1,7,116,376,130,391
T15_Pm_v1,8,107,321,120,351
T15_Pm_v1,9,102,280,118,320
T15_Pm_v1,10,105,247,119,281
T15_Pm_v1,11,112,209,123,243
T15_Pm_v1,12,123,170,130,194
T15_Pm_v1,13,128,120,134,150
T15_Pm_v1,14,134,66,144,95
T15_Pm_v1,15,144,19,156,45
T16_Pm_v2,0,119,339,120,359
T16_Pm_v2,1,114,343,121,359
T16_Pm_v2,2,116,334,118,352
T16_Pm_v2,3,114,324,118,342
T16_Pm_v2,4,116,305,115,333
T16_Pm_v2,5,122,296,121,309
T16_Pm_v2,6,122,268,121,288
T16_Pm_v2,7,113,243,118,265
T16_Pm_v2,8,111,213,119,235
T16_Pm_v2,9,114,189,119,205
